Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
SEPARATION AND PURIFICATION REVIEWS,1542-2119,1542-2127,"CHEMISTRY, ANALYTICAL",5.4,Q1, 14/86 ,3.26%,SCIE
Danish Medical Journal,,2245-1919,"MEDICINE, GENERAL & INTERNAL",1.6,Q3, 118/167 ,0%,SCIE
Biopreservation and Biobanking,1947-5535,1947-5543,CELL BIOLOGY,1.6,Q4, 178/191 ,10.04%,SCIE
Biopreservation and Biobanking,1947-5535,1947-5543,MEDICAL LABORATORY TECHNOLOGY,1.6,Q3, 20/29 ,10.04%,SCIE
Nucleus,1949-1034,1949-1042,CELL BIOLOGY,3.7,Q3, 116/191 ,100%,SCIE
Cancer & Metabolism,,2049-3002,CELL BIOLOGY,5.9,Q2, 61/191 ,100%,SCIE
Forensic Science Medicine and Pathology,1547-769X,1556-2891,"MEDICINE, LEGAL",1.8,Q2, 8/17 ,27.59%,SCIE
CELL AND TISSUE BANKING,1389-9333,1573-6814,CELL BIOLOGY,1.5,Q4, 181/191 ,13.69%,SCIE
Acta Medica Portuguesa,0870-399X,1646-0758,"MEDICINE, GENERAL & INTERNAL",1.2,Q4, 132/167 ,92.46%,SCIE
CYTOPATHOLOGY,0956-5507,1365-2303,CELL BIOLOGY,1.3,Q4, 185/191 ,6.06%,SCIE
GROWTH FACTORS,0897-7194,1029-2292,CELL BIOLOGY,1.8,Q4, 175/191 ,7.14%,SCIE
Acta Naturae,2075-8251,2075-8251,CELL BIOLOGY,2.0,Q4, 171/191 ,97.62%,SCIE
EUROPEAN JOURNAL OF HISTOCHEMISTRY,1121-760X,2038-8306,CELL BIOLOGY,2.0,Q4, 171/191 ,94.97%,SCIE
GROWTH HORMONE & IGF RESEARCH,1096-6374,1532-2238,CELL BIOLOGY,1.4,Q4, 184/191 ,13.22%,SCIE
REVUE DE MEDECINE INTERNE,0248-8663,,"MEDICINE, GENERAL & INTERNAL",0.9,Q4, 143/167 ,0%,SCIE
Cellular and Molecular Bioengineering,1865-5025,1865-5033,CELL & TISSUE ENGINEERING,2.8,Q4, 23/29 ,11.03%,SCIE
Cellular and Molecular Bioengineering,1865-5025,1865-5033,CELL BIOLOGY,2.8,Q4, 145/191 ,11.03%,SCIE
International Journal of Analytical Chemistry,1687-8760,1687-8779,"CHEMISTRY, ANALYTICAL",1.8,Q3, 63/86 ,98.78%,SCIE
ACTA CLINICA BELGICA,1784-3286,2295-3337,"MEDICINE, GENERAL & INTERNAL",1.6,Q3, 118/167 ,2.42%,SCIE
BRITISH JOURNAL OF HOSPITAL MEDICINE,1750-8460,1759-7390,"MEDICINE, GENERAL & INTERNAL",0.9,Q4, 143/167 ,3.87%,SCIE
ORVOSI HETILAP,0030-6002,1788-6120,"MEDICINE, GENERAL & INTERNAL",0.6,Q4, 150/167 ,79.23%,SCIE
Sexual Medicine,,2050-1161,"MEDICINE, GENERAL & INTERNAL",2.6,Q3, 87/167 ,93.31%,SCIE
Regenerative Therapy,2352-3204,2352-3204,CELL & TISSUE ENGINEERING,4.3,Q2, 13/29 ,88.89%,SCIE
DM DISEASE-A-MONTH,0011-5029,1557-8194,"MEDICINE, GENERAL & INTERNAL",4.0,Q2, 56/167 ,1.27%,SCIE
Current Analytical Chemistry,1573-4110,1875-6727,"CHEMISTRY, ANALYTICAL",1.8,Q3, 63/86 ,0.67%,SCIE
Methods and Applications in Fluorescence,2050-6120,2050-6120,"CHEMISTRY, ANALYTICAL",3.2,Q2, 34/86 ,20.92%,SCIE
Hippokratia,1108-4189,1108-4189,"MEDICINE, GENERAL & INTERNAL",0.6,Q4, 150/167 ,0%,SCIE
Journal of Evidence Based Medicine,1756-5383,1756-5391,"MEDICINE, GENERAL & INTERNAL",7.3,Q1, 26/167 ,15.22%,SCIE
EUROPEAN CYTOKINE NETWORK,,1952-4005,CELL BIOLOGY,2.8,Q4, 145/191 ,0%,SCIE
PANMINERVA MEDICA,0031-0808,1827-1898,"MEDICINE, GENERAL & INTERNAL",4.3,Q2, 53/167 ,0.76%,SCIE
Analytical Cellular Pathology,2210-7177,2210-7185,CELL BIOLOGY,3.2,Q3, 127/191 ,100%,SCIE
Microbial Cell,2311-2638,2311-2638,CELL BIOLOGY,4.6,Q2, 86/191 ,95.45%,SCIE
CYTOLOGIA,0011-4545,0011-4545,CELL BIOLOGY,1.0,Q4, 188/191 ,29.24%,SCIE
Australian Journal of General Practice,2208-794X,2208-7958,"MEDICINE, GENERAL & INTERNAL",2.2,Q3, 103/167 ,15.36%,SCIE
Acta Clinica Croatica,0353-9466,1333-9451,"MEDICINE, GENERAL & INTERNAL",0.6,Q4, 150/167 ,92.89%,SCIE
Balkan Medical Journal,2146-3123,2146-3131,"MEDICINE, GENERAL & INTERNAL",3.0,Q2, 75/167 ,98.51%,SCIE
FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,0239-8508,1897-5631,CELL BIOLOGY,1.5,Q4, 181/191 ,98.85%,SCIE
Journal of Analytical Science and Technology,2093-3134,2093-3371,"CHEMISTRY, ANALYTICAL",2.4,Q3, 55/86 ,100%,SCIE
BioChip Journal,1976-0280,2092-7843,"CHEMISTRY, ANALYTICAL",4.3,Q1, 20/86 ,3.79%,SCIE
CELL STRUCTURE AND FUNCTION,0386-7196,1347-3700,CELL BIOLOGY,1.5,Q4, 181/191 ,100%,SCIE
REVISTA CLINICA ESPANOLA,0014-2565,1578-1860,"MEDICINE, GENERAL & INTERNAL",2.9,Q2, 77/167 ,6.45%,SCIE
Forensic Chemistry,2468-1709,2468-1709,"CHEMISTRY, ANALYTICAL",2.7,Q3, 46/86 ,8.07%,SCIE
MEDICINA-BUENOS AIRES,0025-7680,1669-9106,"MEDICINE, GENERAL & INTERNAL",0.8,Q4, 148/167 ,0%,SCIE
JOURNAL OF NIPPON MEDICAL SCHOOL,1345-4676,1347-3409,"MEDICINE, GENERAL & INTERNAL",1.0,Q4, 140/167 ,87.95%,SCIE
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,0967-4845,2474-0896,MEDICAL LABORATORY TECHNOLOGY,1.9,Q3, 18/29 ,28.71%,SCIE
Chronic Illness,1742-3953,1745-9206,"MEDICINE, GENERAL & INTERNAL",1.3,Q4, 131/167 ,12.90%,SCIE
MEDICINE SCIENCE AND THE LAW,0025-8024,2042-1818,"MEDICINE, LEGAL",1.5,Q3, 11/17 ,4.73%,SCIE
Revista de Investigacion Clinica-Clinical and Translational Investigation,0034-8376,2564-8896,"MEDICINE, GENERAL & INTERNAL",1.4,Q4, 128/167 ,72.44%,SCIE
SLAS Technology,2472-6303,2472-6311,"CHEMISTRY, ANALYTICAL",2.7,Q3, 46/86 ,85.26%,SCIE
MEDICAL PROBLEMS OF PERFORMING ARTISTS,0885-1158,1938-2766,"MEDICINE, GENERAL & INTERNAL",0.9,Q4, 143/167 ,8.89%,SCIE
NATIONAL MEDICAL JOURNAL OF INDIA,2583-150X,0970-258X,"MEDICINE, GENERAL & INTERNAL",0.4,Q4, 158/167 ,57.03%,SCIE
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,"CHEMISTRY, ANALYTICAL",0.9,Q4, 81/86 ,19.81%,SCIE
JAAPA-Journal of the American Academy of Physician Assistants,1547-1896,0893-7400,"MEDICINE, GENERAL & INTERNAL",1.1,Q4, 135/167 ,2.76%,SCIE
JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,0933-4173,1789-0993,"CHEMISTRY, ANALYTICAL",1.6,Q4, 70/86 ,5.76%,SCIE
SCOTTISH MEDICAL JOURNAL,0036-9330,2045-6441,"MEDICINE, GENERAL & INTERNAL",2.7,Q2, 82/167 ,11.11%,SCIE
Cellular Reprogramming,2152-4971,2152-4998,CELL & TISSUE ENGINEERING,1.6,Q4, 27/29 ,5.21%,SCIE
Animal Cells and Systems,1976-8354,2151-2485,CELL BIOLOGY,2.9,Q3, 137/191 ,93.85%,SCIE
TERAPEVTICHESKII ARKHIV,0040-3660,2309-5342,"MEDICINE, GENERAL & INTERNAL",0.3,Q4, 161/167 ,97.70%,SCIE
International Journal of Stem Cells,2005-3606,2005-5447,CELL & TISSUE ENGINEERING,2.3,Q4, 26/29 ,100%,SCIE
International Journal of Stem Cells,2005-3606,2005-5447,CELL BIOLOGY,2.3,Q4, 163/191 ,100%,SCIE
Acta Medica Mediterranea,0393-6384,2283-9720,"MEDICINE, GENERAL & INTERNAL",0.3,Q4, 161/167 ,0%,SCIE
Vojnosanitetski Pregled,0042-8450,2406-0720,"MEDICINE, GENERAL & INTERNAL",0.2,Q4, 164/167 ,99.63%,SCIE
WEST INDIAN MEDICAL JOURNAL,0043-3144,2309-5830,"MEDICINE, GENERAL & INTERNAL",0.1,Q4, 166/167 ,0%,SCIE
Journal of Translational Internal Medicine,2450-131X,2224-4018,"MEDICINE, GENERAL & INTERNAL",4.9,Q2, 43/167 ,90.57%,SCIE
Journal of Nepal Medical Association,0028-2715,1815-672X,"MEDICINE, GENERAL & INTERNAL",0.5,Q4, 157/167 ,76.08%,SCIE
Gaceta Medica de Mexico,0016-3813,0016-3813,"MEDICINE, GENERAL & INTERNAL",0.8,Q4, 148/167 ,90.55%,SCIE
INSTRUMENTATION SCIENCE & TECHNOLOGY,1073-9149,1525-6030,"CHEMISTRY, ANALYTICAL",1.6,Q4, 70/86 ,1.70%,SCIE
Journal of Law and the Biosciences,2053-9711,2053-9711,"MEDICINE, LEGAL",3.4,Q1, 1/17 ,93.63%,SCIE
Cell Division,,1747-1028,CELL BIOLOGY,2.3,Q4, 163/191 ,100%,SCIE
ANNALES DE BIOLOGIE CLINIQUE,0003-3898,1950-6112,MEDICAL LABORATORY TECHNOLOGY,0.5,Q4, 28/29 ,29.44%,SCIE
Australian Journal of Forensic Sciences,0045-0618,1834-562X,"MEDICINE, LEGAL",1.0,Q4, 14/17 ,3.16%,SCIE
Journal of Cytology,0970-9371,0974-5165,MEDICAL LABORATORY TECHNOLOGY,1.3,Q4, 22/29 ,77.17%,SCIE
ACTA CHROMATOGRAPHICA,1233-2356,2083-5736,"CHEMISTRY, ANALYTICAL",1.9,Q3, 62/86 ,93.75%,SCIE
Libyan Journal of Medicine,1993-2820,1819-6357,"MEDICINE, GENERAL & INTERNAL",2.4,Q3, 94/167 ,100%,SCIE
BMC Molecular and Cell Biology,,2661-8850,CELL BIOLOGY,2.8,Q4, 145/191 ,99.50%,SCIE
REVIEWS IN ANALYTICAL CHEMISTRY,0793-0135,2191-0189,"CHEMISTRY, ANALYTICAL",4.3,Q1, 20/86 ,98.44%,SCIE
Medizinische Klinik-Intensivmedizin und Notfallmedizin,2193-6218,2193-6226,"MEDICINE, GENERAL & INTERNAL",1.1,Q4, 135/167 ,29.60%,SCIE
IET Systems Biology,1751-8849,1751-8857,CELL BIOLOGY,2.3,Q4, 163/191 ,38.96%,SCIE
Innere Medizin,2731-7080,2731-7099,"MEDICINE, GENERAL & INTERNAL",0.6,Q4, 150/167 ,14.20%,SCIE
Colombia Medica,1657-9534,,"MEDICINE, GENERAL & INTERNAL",1.1,Q4, 135/167 ,91.36%,SCIE
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,1347-5800,CELL BIOLOGY,2.4,Q4, 160/191 ,100%,SCIE
Srpski Arhiv za Celokupno Lekarstvo,0370-8179,0370-8179,"MEDICINE, GENERAL & INTERNAL",0.2,Q4, 164/167 ,92.41%,SCIE
BMJ Military Health,2633-3767,2633-3775,"MEDICINE, GENERAL & INTERNAL",1.5,Q4, 126/167 ,10.20%,SCIE
Journal of Biomaterials and Tissue Engineering,2157-9083,2157-9091,CELL & TISSUE ENGINEERING,0.1,Q4, 29/29 ,0%,SCIE
LCGC North America,1527-5949,1939-1889,"CHEMISTRY, ANALYTICAL",0.9,Q4, 81/86 ,0%,SCIE
International Journal of Osteopathic Medicine,1746-0689,1878-0164,"MEDICINE, GENERAL & INTERNAL",1.9,Q3, 114/167 ,4.17%,SCIE
Medical Law Review,0967-0742,1464-3790,"MEDICINE, LEGAL",1.7,Q3, 9/17 ,36.63%,SCIE
BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE,0001-4079,2271-4820,"MEDICINE, GENERAL & INTERNAL",0.3,Q4, 161/167 ,0%,SCIE
Analytical and Quantitative Cytopathology and Histopathology,0884-6812,,CELL BIOLOGY,0.1,Q4, 189/191 ,0.67%,SCIE
Journal of Water Chemistry and Technology,1063-455X,1934-936X,"CHEMISTRY, ANALYTICAL",0.6,Q4, 84/86 ,0%,SCIE
MEDICINA DELLO SPORT,0025-7826,1827-1863,"MEDICINE, GENERAL & INTERNAL",0.6,Q4, 150/167 ,0%,SCIE
BUNSEKI KAGAKU,0525-1931,,"CHEMISTRY, ANALYTICAL",0.2,Q4, 85/86 ,42.65%,SCIE
Journal of Laboratory Medicine,2567-9430,2567-9449,MEDICAL LABORATORY TECHNOLOGY,1.2,Q4, 25/29 ,97.48%,SCIE
JOURNAL OF HISTOTECHNOLOGY,0147-8885,2046-0236,CELL BIOLOGY,1.1,Q4, 187/191 ,9.59%,SCIE
LCGC EUROPE,1471-6577,1471-6577,"CHEMISTRY, ANALYTICAL",1.0,Q4, 80/86 ,0%,SCIE
Rechtsmedizin,0937-9819,1434-5196,"MEDICINE, LEGAL",0.5,Q4, 16/17 ,55.68%,SCIE
Laeknabladid,0023-7213,1670-4959,"MEDICINE, GENERAL & INTERNAL",0.4,Q4, 158/167 ,93.48%,SCIE
Romanian Journal of Legal Medicine,1221-8618,,"MEDICINE, LEGAL",0.4,Q4, 17/17 ,0%,SCIE
Clinical Mass Spectrometry,2376-9998,2213-8005,MEDICAL LABORATORY TECHNOLOGY,2.1,Q3, 17/29 ,21.74%,SCIE
JBI Evidence Implementation,2691-3321,2691-3321,"MEDICINE, GENERAL & INTERNAL",2.3,Q3, 99/167 ,3.81%,SCIE
Kuwait Medical Journal,1607-8047,0023-5776,"MEDICINE, GENERAL & INTERNAL",0.1,Q4, 166/167 ,0%,SCIE
BMC Primary Care,,2731-4553,"MEDICINE, GENERAL & INTERNAL",,, N/A ,99.70%,SCIE
ArcheoSciences-Revue d Archeometrie,1960-1360,2104-3728,"CHEMISTRY, ANALYTICAL",0.2,Q4, 85/86 ,1.12%,SCIE
BIOLOGICHESKIE MEMBRANY,0233-4755,,CELL BIOLOGY,0.1,Q4, 189/191 ,0%,SCIE
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,1851-6114,MEDICAL LABORATORY TECHNOLOGY,0.1,Q4, 29/29 ,0%,SCIE
Journal of Mass Spectrometry and Advances in the Clinical Lab,2667-145X,2667-145X,MEDICAL LABORATORY TECHNOLOGY,2.2,Q3, 15/29 ,95.08%,SCIE
POSTEPY BIOLOGII KOMORKI,0324-833X,2080-2218,CELL BIOLOGY,0.1,Q4, 189/191 ,0%,SCIE
Copyright (c) 2023 Clarivate ,,,,,,,,
SENSORS,,1424-8220,INSTRUMENTS & INSTRUMENTATION,3.9,Q2, 19/63 ,99.46%,SCIE
SENSORS AND ACTUATORS B-CHEMICAL,,0925-4005,INSTRUMENTS & INSTRUMENTATION,8.4,Q1, 1/63 ,3.49%,SCIE
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,0278-0046,1557-9948,INSTRUMENTS & INSTRUMENTATION,7.7,Q1, 4/63 ,3.06%,SCIE
JOURNAL OF ETHNOPHARMACOLOGY,0378-8741,1872-7573,INTEGRATIVE & COMPLEMENTARY MEDICINE,5.4,Q1, 4/28 ,6.04%,SCIE
KIDNEY INTERNATIONAL,0085-2538,1523-1755,UROLOGY & NEPHROLOGY,19.6,Q1, 3/88 ,32.29%,SCIE
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,0018-9545,1939-9359,TRANSPORTATION SCIENCE & TECHNOLOGY,6.8,Q1, 10/40 ,6.25%,SCIE
IEEE SENSORS JOURNAL,1530-437X,1558-1748,INSTRUMENTS & INSTRUMENTATION,4.3,Q1, 15/63 ,7.04%,SCIE
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,1533-3450,UROLOGY & NEPHROLOGY,13.6,Q1, 5/88 ,2.04%,SCIE
JOURNAL OF UROLOGY,0022-5347,1527-3792,UROLOGY & NEPHROLOGY,6.6,Q1, 9/88 ,3.79%,SCIE
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,1524-9050,1558-0016,TRANSPORTATION SCIENCE & TECHNOLOGY,8.5,Q1, 4/40 ,5.05%,SCIE
MEASUREMENT,0263-2241,1873-412X,INSTRUMENTS & INSTRUMENTATION,5.6,Q1, 9/63 ,6.30%,SCIE
EUROPEAN UROLOGY,0302-2838,1873-7560,UROLOGY & NEPHROLOGY,23.4,Q1, 2/88 ,22.37%,SCIE
PLoS Neglected Tropical Diseases,1935-2735,1935-2735,TROPICAL MEDICINE,3.8,Q1, 2/24 ,97.95%,SCIE
LAB ON A CHIP,1473-0197,1473-0189,INSTRUMENTS & INSTRUMENTATION,6.1,Q1, 7/63 ,22.09%,SCIE
REVIEW OF SCIENTIFIC INSTRUMENTS,0034-6748,1089-7623,INSTRUMENTS & INSTRUMENTATION,1.6,Q3, 47/63 ,17.02%,SCIE
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0018-9456,1557-9662,INSTRUMENTS & INSTRUMENTATION,5.6,Q1, 9/63 ,7.74%,SCIE
TRANSPORTATION RESEARCH RECORD,0361-1981,2169-4052,TRANSPORTATION SCIENCE & TECHNOLOGY,1.7,Q4, 31/40 ,5.60%,SCIE
LANDSCAPE AND URBAN PLANNING,0169-2046,1872-6062,URBAN STUDIES,9.1,Q1, 1/43 ,31.88%,SSCI
NEPHROLOGY DIALYSIS TRANSPLANTATION,0931-0509,1460-2385,UROLOGY & NEPHROLOGY,6.1,Q1, 10/88 ,23.53%,SCIE
SENSORS AND ACTUATORS A-PHYSICAL,0924-4247,1873-3069,INSTRUMENTS & INSTRUMENTATION,4.6,Q1, 13/63 ,4.51%,SCIE
AMERICAN JOURNAL OF KIDNEY DISEASES,0272-6386,1523-6838,UROLOGY & NEPHROLOGY,13.2,Q1, 6/88 ,12.13%,SCIE
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,0968-090X,1879-2359,TRANSPORTATION SCIENCE & TECHNOLOGY,8.3,Q1, 5/40 ,15.70%,SCIE
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,0168-9002,1872-9576,INSTRUMENTS & INSTRUMENTATION,1.4,Q4, 51/63 ,10.13%,SCIE
Smart Materials and Structures,0964-1726,1361-665X,INSTRUMENTS & INSTRUMENTATION,4.1,Q2, 18/63 ,8.15%,SCIE
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,0002-9637,1476-1645,TROPICAL MEDICINE,3.3,Q1, 4/24 ,32.77%,SCIE
Clinical Journal of the American Society of Nephrology,1555-9041,1555-905X,UROLOGY & NEPHROLOGY,9.8,Q1, 7/88 ,1.94%,SCIE
Parasites & Vectors,1756-3305,1756-3305,TROPICAL MEDICINE,3.2,Q1, 6/24 ,99.82%,SCIE
UROLOGY,0090-4295,1527-9995,UROLOGY & NEPHROLOGY,2.1,Q3, 60/88 ,3.90%,SCIE
PHYTOMEDICINE,0944-7113,1618-095X,INTEGRATIVE & COMPLEMENTARY MEDICINE,7.9,Q1, 1/28 ,11.47%,SCIE
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,0965-8564,1879-2375,TRANSPORTATION SCIENCE & TECHNOLOGY,6.4,Q2, 13/40 ,16.35%,SCIE
BJU INTERNATIONAL,1464-4096,1464-410X,UROLOGY & NEPHROLOGY,4.5,Q1, 18/88 ,21.35%,SCIE
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1361-9209,1879-2340,TRANSPORTATION SCIENCE & TECHNOLOGY,7.6,Q1, 8/40 ,21.54%,SCIE
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,0191-2615,1879-2367,TRANSPORTATION SCIENCE & TECHNOLOGY,6.8,Q1, 10/40 ,14.67%,SCIE
Micromachines,,2072-666X,INSTRUMENTS & INSTRUMENTATION,3.4,Q2, 25/63 ,99.49%,SCIE
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,1931-857X,1522-1466,UROLOGY & NEPHROLOGY,4.2,Q1, 19/88 ,3.56%,SCIE
CITIES,0264-2751,1873-6084,URBAN STUDIES,6.7,Q1, 3/43 ,18.01%,SSCI
MALARIA JOURNAL,,1475-2875,TROPICAL MEDICINE,3.0,Q2, 8/24 ,99.53%,SCIE
MEASUREMENT SCIENCE and TECHNOLOGY,0957-0233,1361-6501,INSTRUMENTS & INSTRUMENTATION,2.4,Q3, 36/63 ,11.69%,SCIE
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545,1878-5794,TRANSPORTATION SCIENCE & TECHNOLOGY,10.6,Q1, 2/40 ,6.84%,SCIE
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,0168-583X,1872-9584,INSTRUMENTS & INSTRUMENTATION,1.3,Q4, 52/63 ,5.52%,SCIE
URBAN STUDIES,0042-0980,1360-063X,URBAN STUDIES,4.7,Q1, 8/43 ,25.87%,SSCI
ISA TRANSACTIONS,0019-0578,1879-2022,INSTRUMENTS & INSTRUMENTATION,7.3,Q1, 5/63 ,1.06%,SCIE
Marine Policy,0308-597X,1872-9460,INTERNATIONAL RELATIONS,3.8,Q1, 13/96 ,24.14%,SSCI
Nature Reviews Nephrology,1759-5061,1759-507X,UROLOGY & NEPHROLOGY,41.5,Q1, 1/88 ,3.31%,SCIE
PLANTA MEDICA,0032-0943,1439-0221,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.7,Q3, 15/28 ,4.63%,SCIE
URBAN FORESTRY & URBAN GREENING,1618-8667,1610-8167,URBAN STUDIES,6.4,Q1, 4/43 ,14.67%,SSCI
Journal of Sexual Medicine,1743-6095,1743-6109,UROLOGY & NEPHROLOGY,3.5,Q2, 25/88 ,11.22%,SCIE
JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,0731-5090,1533-3884,INSTRUMENTS & INSTRUMENTATION,2.6,Q2, 31/63 ,8.86%,SCIE
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,0169-7439,1873-3239,INSTRUMENTS & INSTRUMENTATION,3.9,Q2, 19/63 ,8.94%,SCIE
PEDIATRIC NEPHROLOGY,0931-041X,1432-198X,UROLOGY & NEPHROLOGY,3.0,Q2, 33/88 ,21.41%,SCIE
ACTA TROPICA,0001-706X,1873-6254,TROPICAL MEDICINE,2.7,Q2, 11/24 ,11.09%,SCIE
HABITAT INTERNATIONAL,0197-3975,1873-5428,URBAN STUDIES,6.8,Q1, 2/43 ,9.19%,SSCI
JOURNAL OF MICROMECHANICS AND MICROENGINEERING,0960-1317,1361-6439,INSTRUMENTS & INSTRUMENTATION,2.3,Q3, 39/63 ,8.84%,SCIE
WORLD JOURNAL OF UROLOGY,0724-4983,1433-8726,UROLOGY & NEPHROLOGY,3.4,Q2, 26/88 ,20.26%,SCIE
APPLIED SPECTROSCOPY,0003-7028,1943-3530,INSTRUMENTS & INSTRUMENTATION,3.5,Q2, 22/63 ,10.48%,SCIE
Journal of Instrumentation,1748-0221,1748-0221,INSTRUMENTS & INSTRUMENTATION,1.3,Q4, 52/63 ,14.89%,SCIE
BMC Nephrology,,1471-2369,UROLOGY & NEPHROLOGY,2.3,Q3, 56/88 ,99.62%,SCIE
INFRARED PHYSICS & TECHNOLOGY,1350-4495,1879-0275,INSTRUMENTS & INSTRUMENTATION,3.3,Q2, 26/63 ,2.59%,SCIE
INTERNATIONAL ORGANIZATION,0020-8183,1531-5088,INTERNATIONAL RELATIONS,7.8,Q1, 1/96 ,8.47%,SSCI
INTERNATIONAL UROGYNECOLOGY JOURNAL,0937-3462,1433-3023,UROLOGY & NEPHROLOGY,1.8,Q4, 70/88 ,16.50%,SCIE
Structural Control & Health Monitoring,1545-2255,1545-2263,INSTRUMENTS & INSTRUMENTATION,5.4,Q1, 11/63 ,79.39%,SCIE
IET Control Theory and Applications,1751-8644,1751-8652,INSTRUMENTS & INSTRUMENTATION,2.6,Q2, 31/63 ,37.90%,SCIE
TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,0035-9203,1878-3503,TROPICAL MEDICINE,2.2,Q3, 13/24 ,18.86%,SCIE
TRANSPORTATION SCIENCE,0041-1655,,TRANSPORTATION SCIENCE & TECHNOLOGY,4.6,Q2, 14/40 ,0%,SCIE
TROPICAL MEDICINE & INTERNATIONAL HEALTH,1360-2276,1365-3156,TROPICAL MEDICINE,3.3,Q1, 4/24 ,22.46%,SCIE
Biosensors-Basel,,2079-6374,INSTRUMENTS & INSTRUMENTATION,5.4,Q1, 11/63 ,99.79%,SCIE
PROSTATE,0270-4137,1097-0045,UROLOGY & NEPHROLOGY,2.8,Q2, 40/88 ,15.94%,SCIE
STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,1475-9217,1741-3168,INSTRUMENTS & INSTRUMENTATION,6.6,Q1, 6/63 ,7.14%,SCIE
JOURNAL OF ENDOUROLOGY,0892-7790,1557-900X,UROLOGY & NEPHROLOGY,2.7,Q2, 43/88 ,2.33%,SCIE
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,1093-9687,1467-8667,TRANSPORTATION SCIENCE & TECHNOLOGY,9.6,Q1, 3/40 ,10.57%,SCIE
JOURNAL OF SYNCHROTRON RADIATION,0909-0495,1600-5775,INSTRUMENTS & INSTRUMENTATION,2.5,Q3, 34/63 ,61.86%,SCIE
NEUROUROLOGY AND URODYNAMICS,0733-2467,1520-6777,UROLOGY & NEPHROLOGY,2.0,Q3, 61/88 ,12.06%,SCIE
JOURNAL OF URBAN ECONOMICS,0094-1190,1095-9068,URBAN STUDIES,6.3,Q1, 5/43 ,18.47%,SSCI
UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,1078-1439,1873-2496,UROLOGY & NEPHROLOGY,2.7,Q2, 43/88 ,5.23%,SCIE
PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,0141-6359,1873-2372,INSTRUMENTS & INSTRUMENTATION,3.6,Q2, 21/63 ,6.23%,SCIE
JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,1057-7157,1941-0158,INSTRUMENTS & INSTRUMENTATION,2.7,Q2, 29/63 ,22.09%,SCIE
IEEE Transactions on Transportation Electrification,2332-7782,2332-7782,TRANSPORTATION SCIENCE & TECHNOLOGY,7.0,Q1, 9/40 ,4.72%,SCIE
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,0309-1317,1468-2427,URBAN STUDIES,3.3,Q2, 15/43 ,20.60%,SSCI
JOURNAL OF CONFLICT RESOLUTION,0022-0027,1552-8766,INTERNATIONAL RELATIONS,3.1,Q1, 19/96 ,18.29%,SSCI
Nature Reviews Urology,1759-4812,1759-4820,UROLOGY & NEPHROLOGY,15.3,Q1, 4/88 ,3.85%,SCIE
TRANSPORTATION,0049-4488,1572-9435,TRANSPORTATION SCIENCE & TECHNOLOGY,4.3,Q2, 15/40 ,29.81%,SCIE
JOURNAL OF PEACE RESEARCH,0022-3433,1460-3578,INTERNATIONAL RELATIONS,3.6,Q1, 14/96 ,20.08%,SSCI
