Journal,ISSN,eISSN,Category,IF,Quartile,Edition
Journal of Asian Architecture and Building Engineering,1346-7581,1347-2852, CONSTRUCTION & BUILDING TECHNOLOGY,0.904,Q4,SCIE
Journal of Superhard Materials,1063-4576,1934-9408,"MATERIALS SCIENCE, MULTIDISCIPLINARY",0.903,Q4,SCIE
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,0539-0184,1461-7412,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.902,Q4,SSCI
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,0539-0184,1461-7412, INFORMATION SCIENCE & LIBRARY SCIENCE,0.902,Q4,SSCI
Journal of Plant Registrations,1936-5209,1940-3496,PLANT SCIENCES,0.902,Q4,SCIE
Journal of Plant Registrations,1936-5209,1940-3496, AGRONOMY,0.902,Q4,SCIE
MONATSHEFTE FUR MATHEMATIK,0026-9255,1436-5081,MATHEMATICS,0.901,Q3,SCIE
CIENCIA RURAL,0103-8478,1678-4596,AGRONOMY,0.901,Q4,SCIE
AMERICAN FERN JOURNAL,0002-8444,1938-422X,PLANT SCIENCES,0.9,Q4,SCIE
CONTINUITY AND CHANGE,0268-4160,1469-218X,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.9,Q4,SSCI
POLISH POLAR RESEARCH,0138-0338,2081-8262,ECOLOGY,0.9,Q4,SCIE
POLISH POLAR RESEARCH,0138-0338,2081-8262," GEOSCIENCES, MULTIDISCIPLINARY",0.9,Q4,SCIE
Mathematical Communications,1331-0623,1331-0623,MATHEMATICS,0.9,Q3,SCIE
Mathematical Communications,1331-0623,1331-0623," MATHEMATICS, APPLIED",0.9,Q4,SCIE
Georgian Mathematical Journal,1072-947X,1572-9176,MATHEMATICS,0.9,Q3,SCIE
Oncologie,1292-3818,1765-2839,ONCOLOGY,0.9,Q4,SCIE
Economic Computation and Economic Cybernetics Studies and Research,0424-267X,1842-3264,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",0.899,Q4,SCIE
Economic Computation and Economic Cybernetics Studies and Research,0424-267X,1842-3264, ECONOMICS,0.899,Q4,SSCI
Digest Journal of Nanomaterials and Biostructures,1842-3582,1842-3582,"MATERIALS SCIENCE, MULTIDISCIPLINARY",0.899,Q4,SCIE
Digest Journal of Nanomaterials and Biostructures,1842-3582,1842-3582, NANOSCIENCE & NANOTECHNOLOGY,0.899,Q4,SCIE
TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY,1010-6960,,ENTOMOLOGY,0.898,Q4,SCIE
ACM Transactions on Computational Logic,1529-3785,1557-945X,LOGIC,0.898,Q2,SCIE
ACM Transactions on Computational Logic,1529-3785,1557-945X," COMPUTER SCIENCE, THEORY & METHODS",0.898,Q4,SCIE
CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE,,1928-9022,VETERINARY SCIENCES,0.897,Q3,SCIE
NOTRE DAME LAW REVIEW,0745-3515,,LAW,0.897,Q3,SSCI
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,1053-5381,1053-5381,"ENGINEERING, CIVIL",0.897,Q4,SCIE
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,1053-5381,1053-5381," ENGINEERING, MECHANICAL",0.897,Q4,SCIE
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,1053-5381,1053-5381," ENGINEERING, OCEAN",0.897,Q4,SCIE
Chungara-Revista de Antropologia Chilena,0717-7356,0717-7356,ANTHROPOLOGY,0.897,Q3,SSCI
Linguistics Vanguard,2199-174X,2199-174X,LANGUAGE & LINGUISTICS,0.896,,AHCI
Linguistics Vanguard,2199-174X,2199-174X, LINGUISTICS,0.896,Q3,SSCI
CARIBBEAN JOURNAL OF SCIENCE,0008-6452,0008-6452,BIODIVERSITY CONSERVATION,0.896,Q4,SCIE
APPLIED ENGINEERING IN AGRICULTURE,0883-8542,1943-7838,AGRICULTURAL ENGINEERING,0.896,Q4,SCIE
Journal of Substance Use,1465-9891,1475-9942,SUBSTANCE ABUSE,0.895,Q4,SSCI
Trabajos de Prehistoria,0082-5638,1988-3218,ARCHAEOLOGY,0.895,,AHCI
Trabajos de Prehistoria,0082-5638,1988-3218, ANTHROPOLOGY,0.895,Q3,SSCI
RATIONALITY AND SOCIETY,1043-4631,1461-7358,SOCIOLOGY,0.895,Q4,SSCI
TEACHING OF PSYCHOLOGY,0098-6283,1532-8023,"PSYCHOLOGY, MULTIDISCIPLINARY",0.895,Q4,SSCI
TEACHING OF PSYCHOLOGY,0098-6283,1532-8023, EDUCATION & EDUCATIONAL RESEARCH,0.895,Q4,SSCI
Ulusal Travma ve Acil Cerrahi Dergisi-Turkish Journal of Trauma & Emergency Surgery,1306-696X,1307-7945,EMERGENCY MEDICINE,0.894,Q4,SCIE
REVISTA LATINOAMERICANA DE PSICOLOGIA,0120-0534,,"PSYCHOLOGY, MULTIDISCIPLINARY",0.894,Q4,SSCI
AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,1814-2338,MARINE & FRESHWATER BIOLOGY,0.893,Q4,SCIE
Notfall & Rettungsmedizin,1434-6222,1436-0578,EMERGENCY MEDICINE,0.892,Q4,SCIE
Journal of Ovonic Research,1842-2403,1584-9953,"PHYSICS, APPLIED",0.892,Q4,SCIE
Journal of Ovonic Research,1842-2403,1584-9953," MATERIALS SCIENCE, MULTIDISCIPLINARY",0.892,Q4,SCIE
DOKLADY PHYSICAL CHEMISTRY,0012-5016,1608-3121,"CHEMISTRY, PHYSICAL",0.892,Q4,SCIE
CRYOLETTERS,0143-2044,1742-0644,PHYSIOLOGY,0.892,Q4,SCIE
CRYOLETTERS,0143-2044,1742-0644, BIOLOGY,0.892,Q4,SCIE
Transylvanian Review of Administrative Sciences,1842-2845,2247-8310,PUBLIC ADMINISTRATION,0.892,Q4,SSCI
Anales del Sistema Sanitario De Navarra,1137-6627,2340-3527,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.892,Q4,SSCI
Anales del Sistema Sanitario De Navarra,1137-6627,2340-3527," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.892,Q4,SCIE
LOW TEMPERATURE PHYSICS,1063-777X,1090-6517,"PHYSICS, APPLIED",0.891,Q4,SCIE
WASHINGTON LAW REVIEW,0043-0617,,LAW,0.89,Q3,SSCI
EUROPEAN JOURNAL OF COMBINATORICS,0195-6698,1095-9971,MATHEMATICS,0.89,Q3,SCIE
EUROPEAN JOURNAL OF MIGRATION AND LAW,1388-364X,1571-8166,LAW,0.889,Q3,SSCI
EUROPEAN JOURNAL OF MIGRATION AND LAW,1388-364X,1571-8166, DEMOGRAPHY,0.889,Q4,SSCI
MATERIALS SCIENCE-POLAND,2083-134X,2083-134X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",0.889,Q4,SCIE
ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,0013-8029,0013-8029,CONSTRUCTION & BUILDING TECHNOLOGY,0.889,Q4,SCIE
ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,0013-8029,0013-8029," ENGINEERING, CIVIL",0.889,Q4,SCIE
Southern Forests-A Journal of Forest Science,2070-2620,2070-2639,FORESTRY,0.889,Q4,SCIE
BMGN-The Low Countries Historical Review,0165-0505,2211-2898,HISTORY,0.889,,AHCI
BMGN-The Low Countries Historical Review,0165-0505,2211-2898, HISTORY,0.889,Q1,SSCI
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,1370-6233,1780-4507,ENVIRONMENTAL SCIENCES,0.889,Q4,SCIE
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,1370-6233,1780-4507, AGRONOMY,0.889,Q4,SCIE
BULLETIN OF ECONOMIC RESEARCH,0307-3378,1467-8586,ECONOMICS,0.888,Q4,SSCI
Beton- und Stahlbetonbau,0005-9900,1437-1006,"MATERIALS SCIENCE, COMPOSITES",0.888,Q4,SCIE
Beton- und Stahlbetonbau,0005-9900,1437-1006," MATERIALS SCIENCE, CHARACTERIZATION & TESTING",0.888,Q4,SCIE
Beton- und Stahlbetonbau,0005-9900,1437-1006," ENGINEERING, CIVIL",0.888,Q4,SCIE
Beton- und Stahlbetonbau,0005-9900,1437-1006, CONSTRUCTION & BUILDING TECHNOLOGY,0.888,Q4,SCIE
Revista Caatinga,0100-316X,1983-2125,AGRONOMY,0.888,Q4,SCIE
Environment Protection Engineering,0324-8828,,"ENGINEERING, ENVIRONMENTAL",0.887,Q4,SCIE
Actas Urologicas Espanolas,0210-4806,1699-7980,UROLOGY & NEPHROLOGY,0.887,Q4,SCIE
METALLURGIST,0026-0894,1573-8892,METALLURGY & METALLURGICAL ENGINEERING,0.887,Q4,SCIE
FORMAL ASPECTS OF COMPUTING,0934-5043,1433-299X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",0.886,Q4,SCIE
Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica,1224-1784,1844-0835,MATHEMATICS,0.886,Q3,SCIE
Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica,1224-1784,1844-0835," MATHEMATICS, APPLIED",0.886,Q4,SCIE
Intersecciones en Antropologia,1850-373X,1850-373X,ARCHAEOLOGY,0.886,,AHCI
Intersecciones en Antropologia,1850-373X,1850-373X, ANTHROPOLOGY,0.886,Q3,SSCI
REVUE DE MEDECINE INTERNE,0248-8663,,"MEDICINE, GENERAL & INTERNAL",0.885,Q4,SCIE
Ocean and Coastal Research,,2675-2824,OCEANOGRAPHY,0.885,Q4,SCIE
Ocean and Coastal Research,,2675-2824, MARINE & FRESHWATER BIOLOGY,0.885,Q4,SCIE
Pediatric Allergy Immunology and Pulmonology,2151-321X,2151-3228,RESPIRATORY SYSTEM,0.885,Q4,SCIE
Pediatric Allergy Immunology and Pulmonology,2151-321X,2151-3228, PEDIATRICS,0.885,Q4,SCIE
Pediatric Allergy Immunology and Pulmonology,2151-321X,2151-3228, IMMUNOLOGY,0.885,Q4,SCIE
Pediatric Allergy Immunology and Pulmonology,2151-321X,2151-3228, ALLERGY,0.885,Q4,SCIE
Journal of Poverty and Social Justice,1759-8273,1759-8281,SOCIAL ISSUES,0.884,Q4,SSCI
Journal of Poverty and Social Justice,1759-8273,1759-8281," SOCIAL SCIENCES, INTERDISCIPLINARY",0.884,Q4,SSCI
CLINICAL DYSMORPHOLOGY,0962-8827,1473-5717,GENETICS & HEREDITY,0.884,Q4,SCIE
Journal of Mechanics in Medicine and Biology,0219-5194,1793-6810,"ENGINEERING, BIOMEDICAL",0.883,Q4,SCIE
Journal of Mechanics in Medicine and Biology,0219-5194,1793-6810, BIOPHYSICS,0.883,Q4,SCIE
EUROPEAN JOURNAL OF PHYSICS,0143-0807,1361-6404,"PHYSICS, MULTIDISCIPLINARY",0.883,Q4,SCIE
EUROPEAN JOURNAL OF PHYSICS,0143-0807,1361-6404," EDUCATION, SCIENTIFIC DISCIPLINES",0.883,Q4,SCIE
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,1804-6487,ENTOMOLOGY,0.883,Q4,SCIE
Nephrology Nursing Journal,1526-744X,2163-5390,UROLOGY & NEPHROLOGY,0.882,Q4,SCIE
Nephrology Nursing Journal,1526-744X,2163-5390, NURSING,0.882,Q4,SCIE
Nephrology Nursing Journal,1526-744X,2163-5390, NURSING,0.882,Q4,SSCI
JOURNAL OF ASIAN AND AFRICAN STUDIES,0021-9096,1745-2538,AREA STUDIES,0.882,Q3,SSCI
Historical Materialism-Research in Critical Marxist Theory,1465-4466,1569-206X,PHILOSOPHY,0.882,,AHCI
Historical Materialism-Research in Critical Marxist Theory,1465-4466,1569-206X, POLITICAL SCIENCE,0.882,Q4,SSCI
Electronic Journal of Linear Algebra,1537-9582,1081-3810,MATHEMATICS,0.882,Q3,SCIE
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,1196-1961,1878-7290,"PSYCHOLOGY, EXPERIMENTAL",0.881,Q4,SSCI
METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY,1387-5841,1573-7713,STATISTICS & PROBABILITY,0.88,Q4,SCIE
JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,0024-6107,1469-7750,MATHEMATICS,0.88,Q3,SCIE
Journal of Credit Risk,1744-6619,1755-9723,"BUSINESS, FINANCE",0.88,Q4,SSCI
Notes and Records-The Royal Society Journal of the History of Science,0035-9149,1743-0178,HISTORY & PHILOSOPHY OF SCIENCE,0.88,,AHCI
Notes and Records-The Royal Society Journal of the History of Science,0035-9149,1743-0178, HISTORY & PHILOSOPHY OF SCIENCE,0.88,Q2,SCIE
Linguistica Antverpiensia New Series-Themes in Translation Studies,2295-5739,2295-5739,LANGUAGE & LINGUISTICS,0.88,,AHCI
Linguistica Antverpiensia New Series-Themes in Translation Studies,2295-5739,2295-5739, LINGUISTICS,0.88,Q3,SSCI
MALACOLOGIA,0076-2997,2168-9075,ZOOLOGY,0.88,Q4,SCIE
SENSORS AND MATERIALS,0914-4935,0914-4935,"MATERIALS SCIENCE, MULTIDISCIPLINARY",0.879,Q4,SCIE
SENSORS AND MATERIALS,0914-4935,0914-4935, INSTRUMENTS & INSTRUMENTATION,0.879,Q4,SCIE
Current Optics and Photonics,2508-7266,2508-7274,OPTICS,0.879,Q4,SCIE
Rhetoric Society Quarterly,0277-3945,1930-322X,LITERATURE,0.878,,AHCI
Rhetoric Society Quarterly,0277-3945,1930-322X, PHILOSOPHY,0.878,,AHCI
Rhetoric Society Quarterly,0277-3945,1930-322X, COMMUNICATION,0.878,Q4,SSCI
Revista Internacional de Sociologia,0034-9712,1988-429X,SOCIOLOGY,0.877,Q4,SSCI
NEW ZEALAND JOURNAL OF ZOOLOGY,0301-4223,1175-8821,ZOOLOGY,0.877,Q4,SCIE
TECHNICAL COMMUNICATION,0049-3155,,COMMUNICATION,0.875,Q4,SSCI
SOCIAL CHOICE AND WELFARE,0176-1714,1432-217X,ECONOMICS,0.874,Q4,SSCI
SOCIAL CHOICE AND WELFARE,0176-1714,1432-217X," SOCIAL SCIENCES, MATHEMATICAL METHODS",0.874,Q4,SSCI
Bollettino di Geofisica Teorica ed Applicata,0006-6729,2239-5695,GEOCHEMISTRY & GEOPHYSICS,0.873,Q4,SCIE
Ethics & Global Politics,1654-4951,1654-6369,ETHICS,0.872,Q4,SSCI
Ethics & Global Politics,1654-4951,1654-6369, POLITICAL SCIENCE,0.872,Q4,SSCI
ACTA INFORMATICA,0001-5903,1432-0525,"COMPUTER SCIENCE, INFORMATION SYSTEMS",0.871,Q4,SCIE
Frontiers of Mathematics in China,1673-3452,1673-3576,MATHEMATICS,0.871,Q3,SCIE
TAIWANESE JOURNAL OF MATHEMATICS,1027-5487,2224-6851,MATHEMATICS,0.87,Q3,SCIE
ARCHIVES EUROPEENNES DE SOCIOLOGIE,0003-9756,1474-0583,SOCIOLOGY,0.87,Q4,SSCI
European Physical Journal H,2102-6459,2102-6467,HISTORY & PHILOSOPHY OF SCIENCE,0.87,Q2,SCIE
European Physical Journal H,2102-6459,2102-6467," PHYSICS, MULTIDISCIPLINARY",0.87,Q4,SCIE
JOURNAL OF CLINICAL ULTRASOUND,0091-2751,1097-0096,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",0.869,Q4,SCIE
JOURNAL OF CLINICAL ULTRASOUND,0091-2751,1097-0096, ACOUSTICS,0.869,Q4,SCIE
GEOCHEMISTRY INTERNATIONAL,0016-7029,1556-1968,GEOCHEMISTRY & GEOPHYSICS,0.869,Q4,SCIE
Idojaras,0324-6329,0324-6329,METEOROLOGY & ATMOSPHERIC SCIENCES,0.869,Q4,SCIE
RUSSIAN JOURNAL OF APPLIED CHEMISTRY,1070-4272,1608-3296,"CHEMISTRY, APPLIED",0.869,Q4,SCIE
Journal of the Mexican Chemical Society,1870-249X,1665-9686,"CHEMISTRY, MULTIDISCIPLINARY",0.869,Q4,SCIE
Topological Methods in Nonlinear Analysis,1230-3429,1230-3429,MATHEMATICS,0.869,Q3,SCIE
JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,0002-9726,,"MATERIALS SCIENCE, TEXTILES",0.868,Q3,SCIE
JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,0002-9726,," CHEMISTRY, APPLIED",0.868,Q4,SCIE
Communications in Mathematics and Statistics,2194-6701,2194-671X,MATHEMATICS,0.868,Q3,SCIE
SIAM JOURNAL ON DISCRETE MATHEMATICS,0895-4801,1095-7146,"MATHEMATICS, APPLIED",0.868,Q4,SCIE
LOGIC JOURNAL OF THE IGPL,1367-0751,1368-9894,LOGIC,0.868,Q2,SCIE
LOGIC JOURNAL OF THE IGPL,1367-0751,1368-9894, MATHEMATICS,0.868,Q3,SCIE
LOGIC JOURNAL OF THE IGPL,1367-0751,1368-9894," MATHEMATICS, APPLIED",0.868,Q4,SCIE
CIVIL ENGINEERING,0885-7024,0885-7024,"ENGINEERING, CIVIL",0.867,Q4,SCIE
AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,1369-1473,1467-842X,STATISTICS & PROBABILITY,0.867,Q4,SCIE
Hacettepe Journal of Mathematics and Statistics,,2651-477X,MATHEMATICS,0.867,Q3,SCIE
Hacettepe Journal of Mathematics and Statistics,,2651-477X, STATISTICS & PROBABILITY,0.867,Q4,SCIE
KNOWLEDGE ORGANIZATION,0943-7444,,INFORMATION SCIENCE & LIBRARY SCIENCE,0.867,Q4,SSCI
Revista Iberoamericana de Diagnostico y Evaluacion-e Avaliacao Psicologica,2183-6051,2183-6051,"PSYCHOLOGY, CLINICAL",0.866,Q4,SSCI
Tehnicki Vjesnik-Technical Gazette,1330-3651,1848-6339,"ENGINEERING, MULTIDISCIPLINARY",0.864,Q4,SCIE
JOURNAL OF SOUTHERN AFRICAN STUDIES,0305-7070,1465-3893,AREA STUDIES,0.864,Q3,SSCI
SOCIOBIOLOGY,0361-6525,,ENTOMOLOGY,0.864,Q4,SCIE
Problemy Ekorozwoju,1895-6912,,ENVIRONMENTAL STUDIES,0.864,Q4,SSCI
Revista Mexicana de Ciencias Pecuarias,2007-1124,2448-6698,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",0.863,Q4,SCIE
Pakistan Journal of Pharmaceutical Sciences,1011-601X,1011-601X,PHARMACOLOGY & PHARMACY,0.863,Q4,SCIE
COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,0361-0926,1532-415X,STATISTICS & PROBABILITY,0.863,Q4,SCIE
IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,0265-5012,1759-5436,AREA STUDIES,0.862,Q3,SSCI
IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,0265-5012,1759-5436, DEVELOPMENT STUDIES,0.862,Q4,SSCI
RUSSIAN JOURNAL OF ORGANIC CHEMISTRY,1070-4280,1608-3393,"CHEMISTRY, ORGANIC",0.862,Q4,SCIE
English Teaching-Practice and Critique,1175-8708,1175-8708,LANGUAGE & LINGUISTICS,0.862,,AHCI
English Teaching-Practice and Critique,1175-8708,1175-8708, LINGUISTICS,0.862,Q3,SSCI
English Teaching-Practice and Critique,1175-8708,1175-8708, EDUCATION & EDUCATIONAL RESEARCH,0.862,Q4,SSCI
Planta Daninha,0100-8358,1806-9681,PLANT SCIENCES,0.859,Q4,SCIE
Zoologia,1984-4689,1984-4689,ZOOLOGY,0.859,Q4,SCIE
POLISH JOURNAL OF VETERINARY SCIENCES,1505-1773,2300-2557,VETERINARY SCIENCES,0.859,Q3,SCIE
Environmental Engineering and Management Journal,1582-9596,1843-3707,ENVIRONMENTAL SCIENCES,0.858,Q4,SCIE
International Journal of Speech Language and the Law,1748-8885,1748-8893,LINGUISTICS,0.857,Q3,SSCI
International Journal of Speech Language and the Law,1748-8885,1748-8893, CRIMINOLOGY & PENOLOGY,0.857,Q4,SSCI
Japanese Journal of Mathematics,0289-2316,1861-3624,MATHEMATICS,0.857,Q3,SCIE
MATHEMATICAL RESEARCH LETTERS,1073-2780,1945-001X,MATHEMATICS,0.857,Q3,SCIE
GEOLOGICA BELGICA,1374-8505,2034-1954,GEOLOGY,0.857,Q4,SCIE
UNIVERSITY OF ILLINOIS LAW REVIEW,0276-9948,1942-9231,LAW,0.857,Q3,SSCI
JOURNAL OF BLACK STUDIES,0021-9347,1552-4566,ETHNIC STUDIES,0.856,Q4,SSCI
JOURNAL OF BLACK STUDIES,0021-9347,1552-4566," SOCIAL SCIENCES, INTERDISCIPLINARY",0.856,Q4,SSCI
Archives of Biological Sciences,0354-4664,1821-4339,BIOLOGY,0.856,Q4,SCIE
PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,0552-9034,2076-0906,"AGRICULTURE, MULTIDISCIPLINARY",0.856,Q3,SCIE
Engenharia Agricola,0100-6916,,AGRICULTURAL ENGINEERING,0.856,Q4,SCIE
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,INSTRUMENTS & INSTRUMENTATION,0.856,Q4,SCIE
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517," CHEMISTRY, ANALYTICAL",0.856,Q4,SCIE
Chalcogenide Letters,1584-8663,1584-8663,"PHYSICS, APPLIED",0.855,Q4,SCIE
Chalcogenide Letters,1584-8663,1584-8663," MATERIALS SCIENCE, MULTIDISCIPLINARY",0.855,Q4,SCIE
JOURNAL OF ENVIRONMENTAL HEALTH,0022-0892,0022-0892,ENVIRONMENTAL SCIENCES,0.855,Q4,SCIE
JOURNAL OF ENVIRONMENTAL HEALTH,0022-0892,0022-0892," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.855,Q4,SCIE
JOURNAL OF ECONOMIC ISSUES,0021-3624,1946-326X,ECONOMICS,0.854,Q4,SSCI
Materials Science-Medziagotyra,1392-1320,2029-7289,"MATERIALS SCIENCE, MULTIDISCIPLINARY",0.854,Q4,SCIE
South African Journal of Education,0256-0100,2076-3433,EDUCATION & EDUCATIONAL RESEARCH,0.854,Q4,SSCI
Journal of Fiber Science and Technology,2189-7654,2189-7654,"MATERIALS SCIENCE, TEXTILES",0.853,Q3,SCIE
Journal of Fiber Science and Technology,2189-7654,2189-7654, POLYMER SCIENCE,0.853,Q4,SCIE
ANTHROPOLOGICAL QUARTERLY,0003-5491,1534-1518,ANTHROPOLOGY,0.853,Q3,SSCI
Turkish Journal of Electrical Engineering and Computer Sciences,1300-0632,1303-6203,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",0.853,Q4,SCIE
Turkish Journal of Electrical Engineering and Computer Sciences,1300-0632,1303-6203," ENGINEERING, ELECTRICAL & ELECTRONIC",0.853,Q4,SCIE
POSITIVITY,1385-1292,1572-9281,MATHEMATICS,0.853,Q3,SCIE
eMagRes,2055-6101,2055-6101,SPECTROSCOPY,0.852,Q4,SCIE
NIHON REOROJI GAKKAISHI,0387-1533,0387-1533,MECHANICS,0.852,Q4,SCIE
NIHON REOROJI GAKKAISHI,0387-1533,0387-1533, POLYMER SCIENCE,0.852,Q4,SCIE
Canadian Studies in Population,0380-1489,1927-629X,DEMOGRAPHY,0.852,Q4,SSCI
Romanian Journal of Information Science and Technology,1453-8245,1453-8245,INSTRUMENTS & INSTRUMENTATION,0.852,Q4,SCIE
Romanian Journal of Information Science and Technology,1453-8245,1453-8245," COMPUTER SCIENCE, THEORY & METHODS",0.852,Q4,SCIE
Romanian Journal of Information Science and Technology,1453-8245,1453-8245," PHYSICS, APPLIED",0.852,Q4,SCIE
INFORMATION PROCESSING LETTERS,0020-0190,1872-6119,"COMPUTER SCIENCE, INFORMATION SYSTEMS",0.851,Q4,SCIE
Journal of Latin American and Caribbean Anthropology,1935-4932,1935-4940,ANTHROPOLOGY,0.851,Q3,SSCI
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",0.851,Q4,SCIE
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195," MATHEMATICS, APPLIED",0.851,Q4,SCIE
JOURNAL OF MINING SCIENCE,1062-7391,1573-8736,MINING & MINERAL PROCESSING,0.85,Q4,SCIE
SCHWEIZER ARCHIV FUR TIERHEILKUNDE,0036-7281,1664-2848,VETERINARY SCIENCES,0.849,Q3,SCIE
Science and Technology of Nuclear Installations,1687-6075,1687-6083,NUCLEAR SCIENCE & TECHNOLOGY,0.849,Q4,SCIE
PHYSICS OF THE SOLID STATE,1063-7834,1090-6460,"PHYSICS, CONDENSED MATTER",0.848,Q4,SCIE
JOURNAL OF AFRICAN HISTORY,0021-8537,1469-5138,HISTORY,0.848,,AHCI
JOURNAL OF AFRICAN HISTORY,0021-8537,1469-5138, HISTORY,0.848,Q1,SSCI
STUDIES IN CONSERVATION,0039-3630,2047-0584,ART,0.847,,AHCI
STUDIES IN CONSERVATION,0039-3630,2047-0584, ARCHAEOLOGY,0.847,,AHCI
STUDIES IN CONSERVATION,0039-3630,2047-0584," CHEMISTRY, ANALYTICAL",0.847,Q4,SCIE
STUDIES IN CONSERVATION,0039-3630,2047-0584," CHEMISTRY, APPLIED",0.847,Q4,SCIE
STUDIES IN CONSERVATION,0039-3630,2047-0584, SPECTROSCOPY,0.847,Q4,SCIE
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,0254-5861,0254-5861,CRYSTALLOGRAPHY,0.847,Q4,SCIE
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,0254-5861,0254-5861," CHEMISTRY, INORGANIC & NUCLEAR",0.847,Q4,SCIE
INDIAN JOURNAL OF PURE & APPLIED PHYSICS,0019-5596,0975-1041,"PHYSICS, MULTIDISCIPLINARY",0.846,Q4,SCIE
JOURNAL OF WORLD TRADE,1011-6702,2210-2795,LAW,0.845,Q3,SSCI
JOURNAL OF WORLD TRADE,1011-6702,2210-2795, ECONOMICS,0.845,Q4,SSCI
JOURNAL OF WORLD TRADE,1011-6702,2210-2795, INTERNATIONAL RELATIONS,0.845,Q4,SSCI
GEOMAGNETISM AND AERONOMY,0016-7932,1555-645X,GEOCHEMISTRY & GEOPHYSICS,0.844,Q4,SCIE
Australian Journal of Anthropology,1035-8811,1757-6547,ANTHROPOLOGY,0.844,Q4,SSCI
Journal of Australian Studies,1444-3058,1835-6419,CULTURAL STUDIES,0.844,,AHCI
Journal of Australian Studies,1444-3058,1835-6419, HISTORY,0.844,,AHCI
Journal of Australian Studies,1444-3058,1835-6419, HISTORY,0.844,Q2,SSCI
Journal of Australian Studies,1444-3058,1835-6419, CULTURAL STUDIES,0.844,Q3,SSCI
Journal of Australian Studies,1444-3058,1835-6419, AREA STUDIES,0.844,Q3,SSCI
ENTERPRISE & SOCIETY,1467-2227,1467-2235,HISTORY OF SOCIAL SCIENCES,0.844,Q2,SSCI
ENTERPRISE & SOCIETY,1467-2227,1467-2235, BUSINESS,0.844,Q4,SSCI
Indian Journal of Pharmaceutical Education and Research,0019-5464,0019-5464,"EDUCATION, SCIENTIFIC DISCIPLINES",0.843,Q4,SCIE
Indian Journal of Pharmaceutical Education and Research,0019-5464,0019-5464, PHARMACOLOGY & PHARMACY,0.843,Q4,SCIE
European Law Review,0307-5400,,LAW,0.843,Q3,SSCI
CYBIUM,0399-0974,2101-0315,ZOOLOGY,0.843,Q4,SCIE
EXPERIMENTAL MATHEMATICS,1058-6458,1944-950X,MATHEMATICS,0.843,Q3,SCIE
HIGH ENERGY CHEMISTRY,0018-1439,1608-3148,"CHEMISTRY, PHYSICAL",0.842,Q4,SCIE
